epoch,train_loss,val_loss,best_val_so_far,source_file,source_path
0,1.0592,1.3152,,train-jepa-train-167622.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167622.out
1,0.8299,1.2196,1.3152,train-jepa-train-167622.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167622.out
2,0.7155,1.2343,,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
3,0.7284,1.2179,1.2343,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
4,0.724,1.1461,1.2179,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
5,0.6893,1.1554,1.1461,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
6,0.6858,1.1442,1.1461,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
7,0.6601,1.138,1.1442,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
8,0.6506,1.1291,1.138,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
9,0.654,1.1205,1.1291,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
10,0.6449,1.098,1.1205,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
11,0.6409,1.0813,1.098,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
12,0.6377,1.0953,1.0813,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
13,0.6355,1.0611,1.0813,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
14,0.6391,1.0865,1.0611,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
15,0.639,1.108,1.0611,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
16,0.6386,1.0603,1.0611,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
17,0.6366,1.0498,1.0603,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
18,0.6343,1.055,1.0498,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
19,0.6439,1.0371,1.0498,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
20,0.6437,1.0104,1.0371,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
21,0.6348,1.029,1.0104,train-jepa-train-167663.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167663.out
22,0.6345,1.0263,,reconcile-checkpoint.py,/scratch/psp8502/dl-active-matter/logs/JEPA/.ipynb_checkpoints/reconcile-checkpoint.py
23,0.6378,1.0243,1.0263,train-jepa-train-167883.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167883.out
24,0.6426,1.0018,1.0243,train-jepa-train-167883.out,/scratch/psp8502/dl-active-matter/logs/JEPA/train-jepa-train-167883.out
