=== Job started at Fri Apr 17 00:13:02 EDT 2026 ===
Node: b-19-17 | GPU: 0
Config: configs/jepa_small.yaml
Fri Apr 17 00:13:02 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:00:04.0 Off |                    0 |
| N/A   32C    P0             50W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: psp8502 (psp8502-new-york-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run rnfhvar6
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /scratch/psp8502/dl-active-matter/wandb/run-20260417_001333-rnfhvar6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run fearless-water-3
wandb: ⭐️ View project at https://wandb.ai/psp8502-new-york-university/dl-active-matter
wandb: 🚀 View run at https://wandb.ai/psp8502-new-york-university/dl-active-matter/runs/rnfhvar6
============================================================
EXPERIMENT: jepa_small
Checkpoints → /scratch/psp8502/checkpoints/jepa_small
============================================================
[train] 45 HDF5 files → 8750 samples (32 frames, 224×224 crop, stride=1)
[val] 16 HDF5 files → 1200 samples (32 frames, 224×224 crop, stride=1)
Total parameters: 15,979,776 (15.98M)
  Epoch 0 | Batch 0 | Total: 2.1084 | MSE: 1.2998 | VarLoss: 0.8086 | TargetStd: 0.4401
  Epoch 0 | Batch 50 | Total: 0.9725 | MSE: 0.3226 | VarLoss: 0.6499 | TargetStd: 0.4270
  Epoch 0 | Batch 100 | Total: 1.1949 | MSE: 0.8140 | VarLoss: 0.3809 | TargetStd: 0.6802
  Epoch 0 | Batch 150 | Total: 1.4149 | MSE: 0.8920 | VarLoss: 0.5229 | TargetStd: 0.7923
  Epoch 0 | Batch 200 | Total: 1.4521 | MSE: 0.8725 | VarLoss: 0.5796 | TargetStd: 0.7321
  Epoch 0 | Batch 250 | Total: 1.3461 | MSE: 0.9129 | VarLoss: 0.4331 | TargetStd: 0.8444
  Epoch 0 | Batch 300 | Total: 1.1499 | MSE: 0.7598 | VarLoss: 0.3901 | TargetStd: 0.7398
  Epoch 0 | Batch 350 | Total: 1.3124 | MSE: 0.8786 | VarLoss: 0.4338 | TargetStd: 0.8600
  Epoch 0 | Batch 400 | Total: 1.0145 | MSE: 0.6365 | VarLoss: 0.3779 | TargetStd: 0.6748
  Epoch 0 | Batch 450 | Total: 1.4504 | MSE: 0.8616 | VarLoss: 0.5889 | TargetStd: 0.7770
  Epoch 0 | Batch 500 | Total: 1.3608 | MSE: 0.9274 | VarLoss: 0.4333 | TargetStd: 0.7352
  Epoch 0 | Batch 550 | Total: 1.0176 | MSE: 0.7814 | VarLoss: 0.2362 | TargetStd: 0.8160
  Epoch 0 | Batch 600 | Total: 1.1715 | MSE: 0.8563 | VarLoss: 0.3152 | TargetStd: 0.8236
  Epoch 0 | Batch 650 | Total: 1.1041 | MSE: 0.7997 | VarLoss: 0.3044 | TargetStd: 0.8490
  Epoch 0 | Batch 700 | Total: 0.8487 | MSE: 0.5774 | VarLoss: 0.2712 | TargetStd: 0.6986
  Epoch 0 | Batch 750 | Total: 1.0841 | MSE: 0.8048 | VarLoss: 0.2793 | TargetStd: 0.8529
  Epoch 0 | Batch 800 | Total: 1.3352 | MSE: 0.9514 | VarLoss: 0.3838 | TargetStd: 0.8767
  Epoch 0 | Batch 850 | Total: 1.1356 | MSE: 0.8392 | VarLoss: 0.2964 | TargetStd: 0.9048
