=== Job started at Fri Apr 17 02:02:04 EDT 2026 ===
Node: b-19-34 | GPU: 0
Config: configs/jepa_small.yaml
Fri Apr 17 02:02:05 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:00:04.0 Off |                    0 |
| N/A   31C    P0             44W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: psp8502 (psp8502-new-york-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 5o75q188
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /scratch/psp8502/dl-active-matter/wandb/run-20260417_020239-5o75q188
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run fluent-hill-5
wandb: ⭐️ View project at https://wandb.ai/psp8502-new-york-university/dl-active-matter
wandb: 🚀 View run at https://wandb.ai/psp8502-new-york-university/dl-active-matter/runs/5o75q188
============================================================
EXPERIMENT: jepa_small
Checkpoints → /scratch/psp8502/checkpoints/jepa_small
============================================================
[train] 45 HDF5 files → 8750 samples (32 frames, 224×224 crop, stride=1)
[val] 16 HDF5 files → 1200 samples (32 frames, 224×224 crop, stride=1)
Total parameters: 15,979,776 (15.98M)
Auto-resumed from epoch 2
  Epoch 2 | Batch 0 | Total: 0.6086 | MSE: 0.3574 | VarLoss: 0.2512 | TargetStd: 0.6963
  Epoch 2 | Batch 50 | Total: 0.6118 | MSE: 0.3845 | VarLoss: 0.2273 | TargetStd: 0.6323
  Epoch 2 | Batch 100 | Total: 0.7940 | MSE: 0.5935 | VarLoss: 0.2006 | TargetStd: 0.8046
  Epoch 2 | Batch 150 | Total: 0.9364 | MSE: 0.6080 | VarLoss: 0.3284 | TargetStd: 0.8506
  Epoch 2 | Batch 200 | Total: 0.9272 | MSE: 0.4458 | VarLoss: 0.4814 | TargetStd: 0.6123
  Epoch 2 | Batch 250 | Total: 0.6313 | MSE: 0.2993 | VarLoss: 0.3320 | TargetStd: 0.6501
  Epoch 2 | Batch 300 | Total: 0.6293 | MSE: 0.4419 | VarLoss: 0.1874 | TargetStd: 0.7701
  Epoch 2 | Batch 350 | Total: 0.6644 | MSE: 0.4753 | VarLoss: 0.1891 | TargetStd: 0.8619
  Epoch 2 | Batch 400 | Total: 0.8347 | MSE: 0.3942 | VarLoss: 0.4404 | TargetStd: 0.5656
  Epoch 2 | Batch 450 | Total: 1.0226 | MSE: 0.4098 | VarLoss: 0.6128 | TargetStd: 0.5507
  Epoch 2 | Batch 500 | Total: 0.9208 | MSE: 0.5069 | VarLoss: 0.4138 | TargetStd: 0.5411
  Epoch 2 | Batch 550 | Total: 0.5021 | MSE: 0.2680 | VarLoss: 0.2341 | TargetStd: 0.6796
  Epoch 2 | Batch 600 | Total: 0.5621 | MSE: 0.4014 | VarLoss: 0.1606 | TargetStd: 0.7743
  Epoch 2 | Batch 650 | Total: 0.5598 | MSE: 0.2763 | VarLoss: 0.2834 | TargetStd: 0.7027
  Epoch 2 | Batch 700 | Total: 0.4913 | MSE: 0.2614 | VarLoss: 0.2299 | TargetStd: 0.6030
  Epoch 2 | Batch 750 | Total: 0.5724 | MSE: 0.4274 | VarLoss: 0.1450 | TargetStd: 0.7756
  Epoch 2 | Batch 800 | Total: 0.7198 | MSE: 0.4841 | VarLoss: 0.2357 | TargetStd: 0.8092
  Epoch 2 | Batch 850 | Total: 0.7076 | MSE: 0.5583 | VarLoss: 0.1493 | TargetStd: 0.8318
  Epoch 2 | Batch 900 | Total: 0.6334 | MSE: 0.4426 | VarLoss: 0.1908 | TargetStd: 0.7215
  Epoch 2 | Batch 950 | Total: 0.6655 | MSE: 0.3698 | VarLoss: 0.2957 | TargetStd: 0.7196
  Epoch 2 | Batch 1000 | Total: 1.0184 | MSE: 0.5882 | VarLoss: 0.4302 | TargetStd: 0.6472
  Epoch 2 | Batch 1050 | Total: 0.8506 | MSE: 0.3789 | VarLoss: 0.4717 | TargetStd: 0.6039
  Epoch 2 | Batch 1100 | Total: 1.1780 | MSE: 0.7051 | VarLoss: 0.4729 | TargetStd: 0.7685
