=== Job started at Fri Apr 17 23:12:22 EDT 2026 ===
Node: b-19-44 | GPU: 0
Config: configs/jepa_small.yaml
Fri Apr 17 23:12:22 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-40GB          On  |   00000000:00:04.0 Off |                    0 |
| N/A   31C    P0             41W /  400W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: psp8502 (psp8502-new-york-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ij7axsk8
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /scratch/psp8502/dl-active-matter/wandb/run-20260417_231256-ij7axsk8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run kind-morning-9
wandb: ⭐️ View project at https://wandb.ai/psp8502-new-york-university/dl-active-matter
wandb: 🚀 View run at https://wandb.ai/psp8502-new-york-university/dl-active-matter/runs/ij7axsk8
============================================================
EXPERIMENT: jepa_small
Checkpoints → /scratch/psp8502/checkpoints/jepa_small
============================================================
[train] 45 HDF5 files → 8750 samples (32 frames, 224×224 crop, stride=1)
[val] 16 HDF5 files → 1200 samples (32 frames, 224×224 crop, stride=1)
Total parameters: 15,979,776 (15.98M)
Auto-resumed from epoch 27
  Epoch 27 | Batch 0 | Total: 0.7061 | MSE: 0.3240 | VarLoss: 0.3821 | TargetStd: 0.4548
  Epoch 27 | Batch 50 | Total: 0.5876 | MSE: 0.3054 | VarLoss: 0.2822 | TargetStd: 0.3885
  Epoch 27 | Batch 100 | Total: 0.5877 | MSE: 0.2972 | VarLoss: 0.2905 | TargetStd: 0.5058
  Epoch 27 | Batch 150 | Total: 0.7199 | MSE: 0.3073 | VarLoss: 0.4126 | TargetStd: 0.5059
  Epoch 27 | Batch 200 | Total: 0.7411 | MSE: 0.3268 | VarLoss: 0.4143 | TargetStd: 0.4370
  Epoch 27 | Batch 250 | Total: 0.7778 | MSE: 0.3464 | VarLoss: 0.4314 | TargetStd: 0.4712
  Epoch 27 | Batch 300 | Total: 0.6287 | MSE: 0.2930 | VarLoss: 0.3357 | TargetStd: 0.4652
  Epoch 27 | Batch 350 | Total: 0.6917 | MSE: 0.3655 | VarLoss: 0.3262 | TargetStd: 0.5060
  Epoch 27 | Batch 400 | Total: 0.7032 | MSE: 0.3072 | VarLoss: 0.3960 | TargetStd: 0.4060
  Epoch 27 | Batch 450 | Total: 0.6530 | MSE: 0.3192 | VarLoss: 0.3337 | TargetStd: 0.4678
  Epoch 27 | Batch 500 | Total: 0.5525 | MSE: 0.3173 | VarLoss: 0.2352 | TargetStd: 0.4557
  Epoch 27 | Batch 550 | Total: 0.6296 | MSE: 0.3454 | VarLoss: 0.2842 | TargetStd: 0.4949
  Epoch 27 | Batch 600 | Total: 0.5907 | MSE: 0.3331 | VarLoss: 0.2576 | TargetStd: 0.4792
  Epoch 27 | Batch 650 | Total: 0.7492 | MSE: 0.3127 | VarLoss: 0.4365 | TargetStd: 0.4488
  Epoch 27 | Batch 700 | Total: 0.5976 | MSE: 0.2998 | VarLoss: 0.2979 | TargetStd: 0.4151
  Epoch 27 | Batch 750 | Total: 0.5949 | MSE: 0.3315 | VarLoss: 0.2634 | TargetStd: 0.4839
  Epoch 27 | Batch 800 | Total: 0.7044 | MSE: 0.3694 | VarLoss: 0.3350 | TargetStd: 0.4914
  Epoch 27 | Batch 850 | Total: 0.7518 | MSE: 0.3900 | VarLoss: 0.3618 | TargetStd: 0.4972
